{ id: 2, name: 'Warrior Armor', type: 2, rarity: 2, colour: 'grey', colour2: 'green', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/606669444428857354/606669561831620614/20190802_030412.jpg', url_f: 'https://cdn.discordapp.com/attachments/606669444428857354/608539285154693143/Warrior_Armor.png' },
{ id: 3, name: 'Leather Boots', type: 6, rarity: 1, colour: 'brown', colour2: '', availability: 'One time', url_m: 'https://cdn.discordapp.com/attachments/606694950951714817/606869347566354437/unknown.png', url_f: 'https://cdn.discordapp.com/attachments/606694950951714817/608556149133934603/Leather_boots_One_time.png' },
{ id: 4, name: 'Warrior Boots', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 5, name: 'Wristplates', type: 5, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 6, name: 'Warrior Gauntlets', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 8, name: 'BloodKnight Armor', type: 2, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 9, name: 'Shadow Leather Boots', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 10, name: 'BloodKnight Boots', type: 6, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 11, name: 'BloodKnight Wristplates', type: 5, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 12, name: 'BloodKnight Vambraces', type: 5, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 14, name: 'Golden Armor', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 15, name: 'Red-Eye Boots', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 16, name: 'Golden Boots', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 17, name: 'Golden Wristplates', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 18, name: 'Golden Vambraces', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
